"","a2","a3","a4","b","gamma","l","mu","p","phi1","phi2","phi3","phi4","ql","r2","r3","r4","t1","t2","t3","t4","vL","y1","y2","z1","z2","z3","z4","Error"
"18",0.12916812,0.13134745,0.031717354,0.9743606,0.49423829,0.006473093,0.002567659,0.286974133,0.629780996,0.739643317,0.578363812,0.350448167,20.58861264,0.075840206,0.162230035,0.118337228,0.096456054,0.071273901,0.057974027,0.01303486,0.00015023,0.748873782,0.70882461,0.803474496,0.694229122,0.560969564,0.291256177,462558.4025
"19",0.151741369,0.003624778,0.007635531,0.513517882,0.250461353,0.004857816,0.030683566,0.260083779,0.662364601,0.752285296,0.344163294,0.308065196,21.14620762,0.165053945,0.00266116,0.1455172,0.06445979,0.025401379,0.054237425,0.023405621,0.000525927,0.119644257,0.662798552,0.86619871,0.748408829,0.729422549,0.308264824,464884.7405
"20",0.007641696,0.008795279,0.01338162,0.504580433,0.349838232,0.000718334,0.030622389,0.256201505,0.763715308,0.568995467,0.346475088,0.323071902,16.51055032,0.058207044,0.067588983,0.108974712,0.00335021,0.096359741,0.070582732,0.00610998,0.000942287,0.198999257,0.23481906,0.873501853,0.738864822,0.846442227,0.372636972,468262.1209
"21",0.052703012,0.004022953,0.007108643,0.51271703,0.82331088,0.001411776,0.038723506,0.274893823,0.724236948,0.571709025,0.338979365,0.42962779,12.95834729,0.031940846,0.013615687,0.069654138,0.029893179,0.065777323,0.081292382,0.047603766,0.000879741,0.403813967,0.793112637,0.889499541,0.87505659,0.783537338,0.5753007,468624.7935
"22",0.025997395,0.001925233,0.007501847,0.504618837,0.720826403,0.003167076,0.017187308,0.294348468,0.649016733,0.581572058,0.397107008,0.344681626,12.80878977,0.075951914,0.062538785,0.022179089,0.014321204,0.092891663,0.085122819,0.019420879,0.000945612,0.143524438,0.907407061,0.868094605,0.793521069,0.67475118,0.435553386,470314.9452
"23",0.046358891,0.002112183,0.008240268,0.516880806,0.866265285,0.003745054,0.026718401,0.282242885,0.651818754,0.611238225,0.353592606,0.346696874,14.77859484,0.195530912,0.060320516,0.112301473,0.059929012,0.092276436,0.069426924,0.041548976,0.000649571,0.029565365,0.662102293,0.796231728,0.787853866,0.639879388,0.733628271,470500.562
"24",0.199385704,0.004294289,0.006911113,0.505075307,0.400292951,0.002603231,0.017996736,0.268397413,0.739174627,0.509196835,0.313801517,0.364008548,21.49392439,0.158011191,0.150717737,0.157071814,0.067504,0.002107296,0.043334392,0.027083603,0.000562125,0.143685203,0.957718177,0.780173366,0.898485722,0.87560161,0.525204671,470947.3516
"25",0.075632571,0.005324904,0.00345717,0.501559127,0.93300777,0.005223396,0.022101517,0.239738709,0.618742162,0.516631779,0.305347385,0.300283626,12.49728309,0.130105712,0.016125105,0.047785432,0.031395407,0.016805184,0.077523148,0.056286911,0.00089915,0.517305241,0.490920363,0.828632898,0.601893672,0.825502957,0.776329198,479262.3617
"26",0.000652223,0.010119203,0.014045128,0.520439939,0.176370165,0.005567258,0.0438237,0.288854267,0.873246347,0.550461638,0.352531289,0.448455428,19.66957024,0.017158643,0.106533649,0.06681046,0.002197043,0.090484169,0.05351801,0.010278212,0.000984488,0.466815909,0.28124248,0.882543386,0.757705459,0.81917405,0.629176036,484706.3135
"27",0.155813233,0.002075417,0.010521378,0.546800018,0.904365922,0.005387536,0.034687438,0.262374942,0.603254015,0.673175192,0.417707767,0.3575819,16.80420087,0.171965548,0.183629792,0.088606843,0.08929922,0.062234439,0.088089318,0.044482463,0.000403291,0.986376805,0.531811155,0.753867546,0.810304382,0.677390461,0.785588389,485064.7753
"28",0.069402972,0.007591305,0.00040681,0.50235951,0.814527042,0.001639047,0.026349269,0.269489278,0.729994509,0.754841801,0.310241278,0.358317326,11.16671783,0.013749431,0.061761486,0.099577587,6.12e-05,0.049715787,0.072025483,0.076325688,0.001105228,0.030885587,0.891413907,0.836446331,0.725922092,0.892099294,0.533100885,485650.5435
"29",0.012255877,0.010227986,0.000488106,0.504412957,0.97317647,0.004022892,0.014170292,0.293153199,0.635811985,0.527863646,0.307060332,0.378257357,13.1794746,0.085879281,0.020497198,0.093078057,0.034745093,0.095667957,0.058980488,0.046402513,0.000786069,0.737126614,0.65283299,0.898205796,0.740914134,0.61703554,0.42036616,487832.1066
"30",0.166307619,0.030500656,0.001565303,0.503867588,0.842806509,0.003355058,0.03648258,0.227328243,0.721994654,0.785402501,0.442189022,0.495288398,24.41393651,0.007755031,0.037979931,0.04386928,0.093308081,0.09714912,0.076678282,0.074139142,0.000298082,0.262601775,0.440107072,0.849734454,0.874401195,0.804237289,0.581157109,489307.3525
"31",0.060222293,0.004806408,0.002227105,0.514411964,0.974499099,0.004830692,0.029017782,0.297177723,0.685639435,0.510260253,0.311866537,0.341376598,10.10356326,0.080922694,0.00792806,0.007860598,0.021062172,0.0520553,0.076825695,0.078381913,0.000985362,0.259099106,0.119027934,0.859301538,0.545833372,0.815800367,0.643794063,489358.5358
"32",0.09698511,0.000391951,0.004136864,0.511563865,0.902396387,0.004118943,0.054980686,0.295427462,0.639200346,0.652661186,0.306910536,0.391460763,11.49852962,0.044322803,0.015532397,0.006479634,0.035967771,0.034044613,0.08215748,0.077019595,0.000844346,0.191901481,0.261431046,0.869104945,0.663671208,0.892113524,0.694486264,491766.8612
"33",0.063879573,0.004383588,0.002333195,0.517140064,0.641351882,0.003594012,0.032846813,0.295000954,0.698657586,0.667881104,0.318187569,0.437415547,10.24650418,0.040473576,0.03597867,0.017873827,0.007938545,0.033944248,0.088699449,0.085545099,0.000981404,0.038911602,0.971198896,0.888705664,0.776390901,0.877178582,0.679463831,492423.5123
"34",0.111120371,0.000390256,0.004949258,0.512144899,0.937688153,0.007206227,0.032382581,0.293479345,0.834135767,0.582176504,0.302546395,0.364867346,8.711732549,0.170669965,0.021844276,0.07013712,0.054025169,0.001843594,0.093547072,0.061745029,0.000910904,0.059018946,0.827427626,0.892917046,0.834117332,0.742952406,0.497968678,494825.6344
"35",0.003468682,0.006836819,0.004792321,0.510018814,0.938079857,0.002084495,0.028354992,0.263971996,0.891864598,0.508962966,0.354089289,0.341434751,13.99420933,0.02944245,0.033322823,0.047197114,0.050276211,0.087003476,0.078400244,0.043633471,0.000839916,0.44174322,0.860350949,0.847510721,0.722872171,0.780361885,0.745842328,495894.7746
"36",0.062814865,0.001006414,0.00297066,0.514150159,0.708771884,0.000887657,0.022806942,0.295287691,0.845934076,0.52469172,0.373367637,0.367257612,11.01611218,0.129534326,0.01482637,0.017137878,0.029377317,0.018554431,0.090741669,0.065543136,0.000978951,0.074483957,0.994137142,0.78873377,0.827904372,0.804631563,0.630583657,498008.6438
"37",0.044976799,0.004316211,0.006755523,0.508805908,0.95345736,0.000551307,0.060547806,0.292556267,0.822504299,0.580170144,0.328438497,0.343057885,18.3119668,0.047429871,0.048023575,0.014970993,0.019379684,0.05136622,0.053649122,0.020638447,0.000935914,0.583213363,0.958533306,0.82623399,0.853300374,0.690698782,0.573209202,503199.8277
"38",0.078026848,0.008051179,0.007425308,0.509833043,0.942330062,0.002430051,0.021807527,0.292740286,0.889488868,0.636961212,0.308089919,0.377800839,13.20731041,0.095690884,0.022438663,0.12747202,0.079999879,0.034039844,0.063560691,0.045396961,0.000691952,0.845084318,0.855437636,0.87225688,0.889398592,0.771804102,0.22481727,503714.5107
